Tag,Incidence,Votes,Answer,Views,ViewsPerIncidence
keras,73,462,82,601862,8244.684931506848
neural-networks,150,741,155,821479,5476.526666666667
svm,71,234,86,372999,5253.507042253521
cross-validation,59,235,65,241737,4097.237288135593
scikit-learn,428,1481,460,1715124,4007.299065420561
deep-learning,61,201,70,231159,3789.4918032786886
pandas,59,187,64,214470,3635.084745762712
clustering,69,195,78,249298,3613.014492753623
statsmodels,101,311,118,358813,3552.6039603960394
pca,59,238,69,191388,3243.864406779661
random-forest,99,281,100,282108,2849.5757575757575
logistic,80,229,84,223062,2788.275
machine-learning,568,1745,627,1473556,2594.288732394366
scipy,96,201,99,235177,2449.7604166666665
data-visualization,78,238,99,187408,2402.6666666666665
